code,occupation_table1,occupation_table2,similarity_percentage,match_ranking,method_used,threshold_used,similarity_semantic
007,Residential / day care,Estates (maintenance & works),48.59,3,semantic,0.3,48.59
002,Residential / day care,Estates (maintenance & works),48.59,1,semantic,0.3,48.59
001,Genetic counselling,Consultant Therapist / Scientist,48.35,1,semantic,0.3,48.35
005,Radiography - theraputic,Scientific Officer,48.24,3,semantic,0.3,48.24
005,Multi skilled,Specialist Practitioner,48.14,3,semantic,0.3,48.14
010,Sterile services life,Emergency / Urgent Care Support Worker,48.11,1,semantic,0.3,48.11
005,Radiography - diagnostic,Scientific Officer,48.03,1,semantic,0.3,48.03
004,Radiography - diagnostic,Scientist,47.99,2,semantic,0.3,47.99
004,Health promotion,Healthcare Scientist,47.94,3,semantic,0.3,47.94
003,Radiography - diagnostic,Specialist Healthcare Scientist,47.92,3,semantic,0.3,47.92
001,Arts therapy (art / music / drama),Consultant Therapist / Scientist,47.92,2,semantic,0.3,47.92
008,Paediatrics,Assistant Practitioner,47.87,3,semantic,0.3,47.87
001,Paediatrics,Assistant Practitioner,47.87,2,semantic,0.3,47.87
001,Management grades (non AfC),Clerical & administrative,47.05,3,semantic,0.3,47.05
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
099,Not assimilated / not known,Unknown,46.84,1,semantic,0.3,46.84
006,Other,Technician,46.8,3,semantic,0.3,46.8
005,Dental hygienist,Specialist Practitioner,46.6,1,semantic,0.3,46.6
003,Genetic counselling,Therapist,46.28,2,semantic,0.3,46.28
005,Dental hygienist-therapist,Healthcare Assistant,46.04,3,semantic,0.3,46.04
004,Dental hygienist-therapist,Healthcare Assistant,46.04,2,semantic,0.3,46.04
004,Dental hygienist,Healthcare Assistant,45.8,2,semantic,0.3,45.8
005,Dental hygienist,Healthcare Assistant,45.8,3,semantic,0.3,45.8
003,Chaplaincy,Therapist,45.72,1,semantic,0.3,45.72
006,Podiatry,Technician,45.43,2,semantic,0.3,45.43
006,Care at home,Health Visitor,45.29,1,semantic,0.3,45.29
004,Maxillofacial pros physical,Advanced Paramedic,44.97,1,semantic,0.3,44.97
007,Care at home,Estates (maintenance & works),43.81,2,semantic,0.3,43.81
008,Care at home,Estates (maintenance & works),43.81,3,semantic,0.3,43.81
003,Learning disabilities,Therapist,43.57,2,semantic,0.3,43.57
004,Podiatry,Scientist,42.74,3,semantic,0.3,42.74
001,Adult,Assistant Practitioner,42.66,1,semantic,0.3,42.66
008,Adult,Assistant Practitioner,42.66,2,semantic,0.3,42.66
012,EMDC / control,Ambulance Care Assistant,42.5,1,semantic,0.3,42.5
004,Orthotics,Scientist,42.5,1,semantic,0.3,42.5
003,EMDC / control,Assistant,42.42,2,semantic,0.3,42.42
001,NHS call handlers,Consultant Paramedic,42.05,1,semantic,0.3,42.05
004,NHS call handlers,Manager,41.98,2,semantic,0.3,41.98
002,NHS call handlers,Manager,41.98,3,semantic,0.3,41.98
004,Orthotics,Healthcare Scientist,41.75,2,semantic,0.3,41.75
003,Speech and language therapy,Therapist,41.71,1,semantic,0.3,41.71
003,Adult,Assistant,41.68,3,semantic,0.3,41.68
002,EMDC / control,Manager,41.68,3,semantic,0.3,41.68
002,Learning disabilities,Trainee / Student,41.67,3,semantic,0.3,41.67
006,Sterile services life,Support Worker,41.62,2,semantic,0.3,41.62
005,Sterile services life,Support Worker,41.62,3,semantic,0.3,41.62
005,Orthotics,Specialist Practitioner,41.48,3,semantic,0.3,41.48
004,Orthoptics,Scientist,41.45,1,semantic,0.3,41.45
005,Orthoptics,Specialist Practitioner,41.18,2,semantic,0.3,41.18
004,Orthoptics,Healthcare Scientist,40.26,3,semantic,0.3,40.26
001,Prosthetics,Consultant Paramedic,40.13,3,semantic,0.3,40.13
006,Hotel services,Health Visitor,39.2,1,semantic,0.3,39.2
006,Maxillofacial pros physical,Paramedic,38.91,2,semantic,0.3,38.91
001,Blood transfusion service,Consultant Paramedic,38.61,1,semantic,0.3,38.61
001,Genetic counselling,Consultant Healthcare Scientist,38.58,3,semantic,0.3,38.58
006,Blood transfusion service,Health Visitor,38.57,2,semantic,0.3,38.57
006,Blood transfusion service,Paramedic,38.43,3,semantic,0.3,38.43
008,Speech and language therapy,Tutor,38.05,2,semantic,0.3,38.05
005,Optometry,Specialist Practitioner,37.92,1,semantic,0.3,37.92
001,Chaplaincy,Consultant Therapist / Scientist,37.91,2,semantic,0.3,37.91
005,Chaplaincy,Specialist Practitioner,37.63,3,semantic,0.3,37.63
099,NHS 24,Unknown,37.32,1,semantic,0.3,37.32
002,Speech and language therapy,Trainee / Student,36.83,3,semantic,0.3,36.83
001,Optometry,Consultant Healthcare Scientist,36.78,2,semantic,0.3,36.78
004,Optometry,Healthcare Scientist,35.84,3,semantic,0.3,35.84
004,Clinical perfusion physiology,Healthcare Scientist,35.23,1,semantic,0.3,35.23
001,Theatre services,Assistant Practitioner,35.17,1,semantic,0.3,35.17
008,Theatre services,Assistant Practitioner,35.17,2,semantic,0.3,35.17
004,Clinical perfusion physiology,Advanced Paramedic,35.14,2,semantic,0.3,35.14
005,Central functions,Specialist Practitioner,35.05,1,semantic,0.3,35.05
004,NHS 24,Scientist,35.01,2,semantic,0.3,35.01
004,Dietetics,Scientist,34.63,1,semantic,0.3,34.63
003,Theatre services,Assistant,34.4,3,semantic,0.3,34.4
003,Clinical perfusion physiology,Specialist Healthcare Scientist,34.34,3,semantic,0.3,34.34
006,Driver,Technician,34.12,1,semantic,0.3,34.12
001,Arts therapy (art / music / drama),Assistant Practitioner,33.86,3,semantic,0.3,33.86
006,NHS 24,Technician,31.46,3,semantic,0.3,31.46
004,Maxillofacial pros physical,Scientist,31.28,3,semantic,0.3,31.28
